drug_name,side_effects,medical_condition
Dexedrine,"hives ; difficulty breathing; swelling face, lips, tongue, throat. Dexedrine Spansule may cause serious side effects. Call doctor have: signs heart problems--chest pain, trouble breathing, feeling like might pass out; signs psychosis--hallucinations (seeing hearing things real), new behavior problems, aggression, hostility, paranoia; signs circulation problems--numbness, pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; seizure (convulsions); muscle twitches (tics); changes vision. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea, vomiting, diarrhea. Dexedrine Spansule affect growth children. Tell doctor child growing normal rate using Dexedrine Spansule. Common side effects Dexedrine Spansule may include: dry mouth, upset stomach , loss appetite, weight loss ; headache , dizziness ; tremors, fast heartbeats; sleep problems ( insomnia ).",ADHD
amphetamine / dextroamphetamine,"hives ; difficult breathing; swelling face, lips, tongue, throat. Amphetamine dextroamphetamine may cause serious side effects. Call doctor have: signs heart problems--chest pain, trouble breathing, feeling like might pass out; signs psychosis--hallucinations (seeing hearing things real), new behavior problems, aggression, hostility, paranoia; signs circulation problems--numbness, pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; seizure (convulsions); muscle twitches (tics); changes vision. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea, vomiting, diarrhea. Long-term use stimulant medicine affect growth children. Tell doctor child growing normal rate using medicine. Common side effects amphetamine dextroamphetamine may include: stomach pain, nausea, loss appetite; weight loss ; mood changes, feeling nervous irritable; fast heart rate; headache , dizziness ; sleep problems ( insomnia ); dry mouth.",ADHD
Ritalin,"hives ; difficulty breathing; swelling face, lips, tongue, throat. Call doctor have: signs heart problems - chest pain, trouble breathing, feeling like might pass out; signs psychosis - hallucinations (seeing hearing things real), new behavior problems, aggression, hostility, paranoia; signs circulation problems - numbness , pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; penis erection painful lasts 4 hours longer. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea, vomiting, diarrhea. Methylphenidate affect growth children. Your child's height weight may need checked often. Tell doctor child growing normal rate. Common Ritalin side effects may include: sweating, increased blood pressure; mood changes, anxiety, feeling nervous irritable, trouble sleeping; fast heart rate, pounding heartbeats fluttering chest; loss appetite, weight loss ; dry mouth, nausea, vomiting, stomach pain, indigestion ; headache, dizziness .",ADHD
dextroamphetamine,"hives ; difficulty breathing; swelling face, lips, tongue, throat. Dextroamphetamine may cause serious side effects. Call doctor have: signs heart problems--chest pain, trouble breathing, feeling like might pass out; signs psychosis--hallucinations (seeing hearing things real), new behavior problems, aggression, hostility, paranoia; signs circulation problems--numbness, pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; seizure (convulsions); muscle twitches (tics); changes vision. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea, vomiting, diarrhea. Dextroamphetamine affect growth children. Tell doctor child growing normal rate using dextroamphetamine. Common side effects dextroamphetamine may include: dry mouth, upset stomach , loss appetite, weight loss ; headache , dizziness ; tremors, fast heartbeats; sleep problems ( insomnia ).",ADHD
bupropion,"(hives, itching, fever, swollen glands, difficult breathing, swelling face throat) severe skin reaction (fever, sore throat, burning eyes, skin pain, red purple skin rash blistering peeling). Report new worsening symptoms doctor , as: mood behavior changes, anxiety, depression, panic attacks, trouble sleeping, feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally physically), depressed, thoughts suicide hurting yourself. Call doctor have: seizure (convulsions); confusion, unusual changes mood behavior; blurred vision, tunnel vision, eye pain swelling, seeing halos around lights; fast irregular heartbeats; manic episode - racing thoughts, increased energy, reckless behavior, feeling extremely happy irritable, talking usual, severe problems sleep. Common bupropion side effects may include: dry mouth, sore throat, stuffy nose; ringing ears; blurred vision; nausea, vomiting, stomach pain, loss appetite, constipation; sleep problems (insomnia); tremors, sweating, feeling anxious nervous; fast heartbeats; confusion, agitation, hostility; rash; weight loss; increased urination; headache, dizziness; muscle joint pain.",ADHD
clonidine,"hives ; difficult breathing; swelling face, lips, tongue, throat. Call doctor have: severe chest pain, shortness breath, irregular heartbeats; slow heart rate ; light-headed feeling, like might pass out. Common clonidine side effects may include: drowsiness, dizziness; feeling tired irritable; dry mouth; constipation , loss appetite; sleep problems ( insomnia ), nightmares .",ADHD
Intuniv,"hives ; difficult breathing; swelling face, lips, tongue, throat. Call doctor have: anxiety , nervousness; hallucinations (especially children); severe drowsiness; slow heartbeats; light-headed feeling, like might pass out; If stop taking Intuniv, tell doctor headaches, confusion, rapid heartbeats, tremors, increased blood pressure, feel nervous agitated. If left untreated, symptoms could lead high blood pressure, vision problems, seizures . Common Intuniv side effects may include: dizziness , drowsiness; low blood pressure, slow heartbeats; feeling tired irritable; trouble sleeping; dry mouth; stomach pain, nausea, constipation .",ADHD
Desoxyn,"hives ; difficult breathing; swelling face, lips, tongue, throat. Desoxyn may cause serious side effects. Call doctor have: signs heart problems--chest pain, trouble breathing, feeling like might pass out; signs psychosis--hallucinations (seeing hearing things real), new behavior problems, aggression, hostility, paranoia; signs circulation problems--numbness, pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; seizure (convulsions); muscle twitches (tics); changes vision. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea , vomiting , diarrhea . Desoxyn affect growth children. Tell doctor child growing normal rate using Desoxyn. Common side effects Desoxyn may include: headache dizziness ; fast heartbeats; sleep problems ( insomnia ); diarrhea, constipation , upset stomach ; tremors; loss appetite, weight loss.",ADHD
guanfacine,"hives ; difficult breathing; swelling face, lips, tongue, throat. Guanfacine may cause serious side effects. Call doctor have: anxiety , nervousness ; hallucinations (especially children); severe drowsiness; slow heartbeats; light-headed feeling, like might pass out; If stop taking guanfacine, tell doctor headaches, confusion, rapid heartbeats, tremors, increased blood pressure, feel nervous agitated. If left untreated, symptoms could lead high blood pressure, vision problems, seizures . Common side effects guanfacine may include: dizziness , drowsiness; low blood pressure, slow heartbeats; feeling tired irritable; trouble sleeping; dry mouth; stomach pain, nausea , constipation .",ADHD
Focalin,"fever; hives ; difficulty breathing; swelling face, lips, tongue, throat. Call doctor have: signs heart problems - chest pain, trouble breathing, feeling like might pass out; signs psychosis - hallucinations (seeing hearing things real), new thought behavior problems, aggression, hostility, paranoia; signs circulation problems - numbness , pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; penis erection painful lasts 4 hours longer. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea , vomiting, diarrhea . Dexmethylphenidate affect growth children. Your child's height weight may need checked often. Tell doctor child growing normal rate. Common Focalin side effects may include: loss appetite; nausea, stomach pain; fever.",ADHD
atomoxetine,"hives ; difficult breathing; swelling face, lips, tongue, throat. Report new worsening symptoms doctor, as: anxiety , panic attacks , trouble sleeping, feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally physically), depressed, thoughts suicide hurting yourself. Atomoxetine affect growth children. Tell doctor child growing normal rate using medicine. Atomoxetine may cause serious side effects. Call doctor have: signs heart problems--chest pain, trouble breathing, feeling like might pass out; signs psychosis--hallucinations (seeing hearing things real), new behavior problems, aggression, hostility, paranoia; liver problems--stomach pain (upper right side), itching, flu-like symptoms, dark urine, jaundice (yellowing skin eyes); painful difficult urination; erection painful lasts longer 4 hours (this rare side effect). Common side effects atomoxetine may include: nausea , vomiting , upset stomach , constipation ; dry mouth, loss appetite; mood changes, feeling tired; dizziness; urination problems; impotence , trouble erection.",ADHD
Focalin XR,"fever; hives ; difficulty breathing; swelling face, lips, tongue, throat. Focalin XR may cause serious side effects. Call doctor have: signs heart problems--chest pain, trouble breathing, feeling like might pass out; signs psychosis--hallucinations (seeing hearing things real), new thought behavior problems, aggression, hostility, paranoia; signs circulation problems-- numbness , pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; penis erection painful lasts 4 hours longer. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea , vomiting, diarrhea . Focalin XR affect growth children. Your child's height weight may need checked often. Tell doctor child growing normal rate. Common side effects Focalin XR may include: loss appetite; nausea, stomach pain; fever.",ADHD
amphetamine,"hives ; difficult breathing; swelling face, lips, tongue, throat. Call doctor have: signs heart problems - chest pain, trouble breathing, feeling like might pass out; signs psychosis - hallucinations (seeing hearing things real), new behavior problems, aggression, hostility, paranoia; signs circulation problems - numbness , pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; seizure (convulsions); muscle twitches (tics); pain burning urinate; changes vision. Seek medical attention right away symptoms serotonin syndrome, as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea , vomiting, diarrhea. Amphetamine affect growth. Tell doctor child growing normal rate. Common amphetamine side effects may include: increased heart rate; mood changes, anxiety , feeling restless nervous; trouble sleeping; dry mouth, stomach pain, nausea, vomiting, diarrhea, constipation ; loss appetite, weight loss ; painful urination; sexual problems, impotence ; headache , dizziness ; fever, weakness; itching.",ADHD
Ritalin LA,"Along needed effects, medicine may cause unwanted effects. Although side effects may occur, occur may need medical attention. Check doctor immediately following side effects occur: More common Fast heartbeat Less common Chest pain fever joint pain skin rash hives Rare Black, tarry stools blood urine stools blurred vision changes vision crusting, dryness, flaking skin muscle cramps pinpoint red spots skin scaling, severe redness, soreness, swelling skin seizures uncontrolled vocal outbursts tics (uncontrolled repeated body movements) unusual bleeding bruising Incidence known Agitation arm, back jaw pain bleeding gums bloody nose chest discomfort, tightness, heaviness chills clenching, gnashing, grinding teeth confusion cough dark urine decreased interest sexual intercourse diarrhea difficulty speaking difficulty swallowing discouragement dizziness double vision drowsiness fainting fast, pounding, irregular heartbeat pulse feeling like surroundings real feeling sad empty feeling others watching controlling behavior feeling others hear thoughts feeling, seeing, hearing things headache heavier menstrual periods inability keep erection inability move arms, legs, facial muscles inability speak irritability itching skin large, hive-like swelling face, eyelids, lips, tongue, throat, hands, legs, feet, genitals loss sexual ability, desire, drive, performance loss interest pleasure mood swings muscle pain, stiffness, spasms nausea nervousness numbness hands overactive reflexes painful difficult urination pale skin paleness cold feeling fingertips toes poor coordination pounding ears puffiness swelling eyelids around eyes, face, lips, tongue red, irritated eyes red, swollen, scaly skin redness, soreness, itching skin restlessness right upper quadrant tenderness seeing, hearing, feeling things severe sudden headache shivering slow speech slowed growth children sore throat sores, ulcers, white spots lips mouth stuffy runny nose sudden loss coordination sudden slurring speech sweating swollen glands talking acting excitement cannot control tingling pain fingers toes exposed cold temperatures trembling shaking tremor trouble concentrating trouble sleeping trouble breathing twitching, twisting, uncontrolled repetitive movements tongue, lips, face, arms, legs unusual behavior unusual tiredness weakness weight loss yellow skin eyes Symptoms overdose Agitation anxiety bigger, dilated, enlarged pupils eyes confusion time, place, person dark urine diarrhea dizziness, faintness, lightheadedness getting suddenly lying sitting position dry eyes, mouth, nose, throat false unusual sense well-being fast, slow, irregular, pounding, racing heartbeat pulse holding false beliefs cannot changed fact increased sensitivity eyes light loss consciousness muscle pain, cramps, stiffness, twitching nervousness overactive reflexes pounding ears rapid, shallow breathing sweating tremors unusual excitement, nervousness, restlessness Some side effects may occur usually need medical attention. These side effects may go away treatment body adjusts medicine. Also, health care professional may able tell ways prevent reduce side effects. Check health care professional following side effects continue bothersome questions them: More common Loss appetite stomach pain Less common Acid sour stomach anger belching fear heartburn indigestion irritability scalp hair loss stomach discomfort upset vomiting Other side effects listed may also occur patients. If notice effects, check healthcare professional. Call doctor medical advice side effects. You may report side effects FDA 1-800-FDA-1088. Ritalin LA side effects",ADHD
Kapvay,"hives ; difficult breathing; swelling face, lips, tongue, throat. Call doctor have: severe chest pain, shortness breath, irregular heartbeats; slow heart rate ; light-headed feeling, like might pass out. Common Kapvay side effects may include: drowsiness, dizziness; feeling tired irritable; dry mouth; constipation , loss appetite; sleep problems ( insomnia ), nightmares .",ADHD
Methylin,"Along needed effects, medicine may cause unwanted effects. Although side effects may occur, occur may need medical attention. Check doctor immediately following side effects occur: More common Fast heartbeat Less common Chest pain fever joint pain skin rash hives Rare Black, tarry stools blood urine stools blurred vision changes vision crusting, dryness, flaking skin muscle cramps pinpoint red spots skin scaling, severe redness, soreness, swelling skin seizures uncontrolled vocal outbursts tics (uncontrolled repeated body movements) unusual bleeding bruising Incidence known Agitation arm, back jaw pain bleeding gums bloody nose chest discomfort, tightness, heaviness chills clenching, gnashing, grinding teeth confusion cough dark urine decreased interest sexual intercourse diarrhea difficulty speaking difficulty swallowing discouragement dizziness double vision drowsiness fainting fast, pounding, irregular heartbeat pulse feeling like surroundings real feeling sad empty feeling others watching controlling behavior feeling others hear thoughts feeling, seeing, hearing things headache heavier menstrual periods inability keep erection inability move arms, legs, facial muscles inability speak irritability itching skin large, hive-like swelling face, eyelids, lips, tongue, throat, hands, legs, feet, genitals loss sexual ability, desire, drive, performance loss interest pleasure mood swings muscle pain, stiffness, spasms nausea nervousness numbness hands overactive reflexes painful difficult urination pale skin paleness cold feeling fingertips toes poor coordination pounding ears puffiness swelling eyelids around eyes, face, lips, tongue red, irritated eyes red, swollen, scaly skin redness, soreness, itching skin restlessness right upper quadrant tenderness seeing, hearing, feeling things severe sudden headache shivering slow speech slowed growth children sore throat sores, ulcers, white spots lips mouth stuffy runny nose sudden loss coordination sudden slurring speech sweating swollen glands talking acting excitement cannot control tingling pain fingers toes exposed cold temperatures trembling shaking tremor trouble concentrating trouble sleeping trouble breathing twitching, twisting, uncontrolled repetitive movements tongue, lips, face, arms, legs unusual behavior unusual tiredness weakness weight loss yellow skin eyes Symptoms overdose Agitation anxiety bigger, dilated, enlarged pupils eyes confusion time, place, person dark urine diarrhea dizziness, faintness, lightheadedness getting suddenly lying sitting position dry eyes, mouth, nose, throat false unusual sense well-being fast, slow, irregular, pounding, racing heartbeat pulse holding false beliefs cannot changed fact increased sensitivity eyes light loss consciousness muscle pain, cramps, stiffness, twitching nervousness overactive reflexes pounding ears rapid, shallow breathing sweating tremors unusual excitement, nervousness, restlessness Some side effects may occur usually need medical attention. These side effects may go away treatment body adjusts medicine. Also, health care professional may able tell ways prevent reduce side effects. Check health care professional following side effects continue bothersome questions them: More common Loss appetite stomach pain Less common Acid sour stomach anger belching fear heartburn indigestion irritability scalp hair loss stomach discomfort upset vomiting Other side effects listed may also occur patients. If notice effects, check healthcare professional. Call doctor medical advice side effects. You may report side effects FDA 1-800-FDA-1088. Methylin side effects",ADHD
dexmethylphenidate,"fever; hives ; difficulty breathing; swelling face, lips, tongue, throat. Dexmethylphenidate may cause serious side effects. Call doctor have: signs heart problems--chest pain, trouble breathing, feeling like might pass out; signs psychosis--hallucinations (seeing hearing things real), new thought behavior problems, aggression, hostility, paranoia; signs circulation problems-- numbness , pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; penis erection painful lasts 4 hours longer. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea , vomiting, diarrhea . Dexmethylphenidate affect growth children. Your child's height weight may need checked often. Tell doctor child growing normal rate. Common side effects dexmethylphenidate may include: loss appetite; nausea, stomach pain; fever.",ADHD
methamphetamine,"hives; difficult breathing; swelling face, lips, tongue, throat. Call doctor have: signs heart problems - chest pain, trouble breathing, feeling like might pass out; signs psychosis - hallucinations (seeing hearing things real), new behavior problems, aggression, hostility, paranoia; signs circulation problems - numbness, pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; seizure (convulsions); muscle twitches (tics); changes vision. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss coordination, nausea, vomiting, diarrhea. Methamphetamine affect growth children. Tell doctor child growing normal rate using medicine. Common methamphetamine side effects may include: headache dizziness; fast heartbeats; sleep problems (insomnia); diarrhea, constipation, upset stomach; tremors; loss appetite, weight loss.",ADHD
modafinil,"hives; difficulty breathing; swelling face, lips, tongue, throat. Modafinil cause skin reactions may severe enough need treatment hospital. Stop taking medicine get emergency medical help have: skin rash hives, blisters peeling; mouth sores, trouble swallowing; fever, shortness breath; swelling legs; dark urine, jaundice (yellowing skin eyes); swelling face, eyes, lips, tongue, throat. Modafinil may cause serious side effects. Stop using modafinil call doctor have: depression , anxiety , suicidal thoughts actions; hallucinations, unusual thoughts behavior, aggression, active talkative usual; chest pain, trouble breathing, uneven heart beats; first sign skin rash, matter minor think might be. Common side effects modafinil may include: headache , dizziness ; feeling nervous anxious; back pain ; nausea , diarrhea , upset stomach ; sleep problems ( insomnia ); stuffy nose.",ADHD
Metadate CD,No Side Effects,ADHD
Methylin ER,"Along needed effects, medicine may cause unwanted effects. Although side effects may occur, occur may need medical attention. Check doctor immediately following side effects occur: More common Fast heartbeat Less common Chest pain fever joint pain skin rash hives Rare Black, tarry stools blood urine stools blurred vision changes vision crusting, dryness, flaking skin muscle cramps pinpoint red spots skin scaling, severe redness, soreness, swelling skin seizures uncontrolled vocal outbursts tics (uncontrolled repeated body movements) unusual bleeding bruising Incidence known Agitation arm, back jaw pain bleeding gums bloody nose chest discomfort, tightness, heaviness chills clenching, gnashing, grinding teeth confusion cough dark urine decreased interest sexual intercourse diarrhea difficulty speaking difficulty swallowing discouragement dizziness double vision drowsiness fainting fast, pounding, irregular heartbeat pulse feeling like surroundings real feeling sad empty feeling others watching controlling behavior feeling others hear thoughts feeling, seeing, hearing things headache heavier menstrual periods inability keep erection inability move arms, legs, facial muscles inability speak irritability itching skin large, hive-like swelling face, eyelids, lips, tongue, throat, hands, legs, feet, genitals loss sexual ability, desire, drive, performance loss interest pleasure mood swings muscle pain, stiffness, spasms nausea nervousness numbness hands overactive reflexes painful difficult urination pale skin paleness cold feeling fingertips toes poor coordination pounding ears puffiness swelling eyelids around eyes, face, lips, tongue red, irritated eyes red, swollen, scaly skin redness, soreness, itching skin restlessness right upper quadrant tenderness seeing, hearing, feeling things severe sudden headache shivering slow speech slowed growth children sore throat sores, ulcers, white spots lips mouth stuffy runny nose sudden loss coordination sudden slurring speech sweating swollen glands talking acting excitement cannot control tingling pain fingers toes exposed cold temperatures trembling shaking tremor trouble concentrating trouble sleeping trouble breathing twitching, twisting, uncontrolled repetitive movements tongue, lips, face, arms, legs unusual behavior unusual tiredness weakness weight loss yellow skin eyes Symptoms overdose Agitation anxiety bigger, dilated, enlarged pupils eyes confusion time, place, person dark urine diarrhea dizziness, faintness, lightheadedness getting suddenly lying sitting position dry eyes, mouth, nose, throat false unusual sense well-being fast, slow, irregular, pounding, racing heartbeat pulse holding false beliefs cannot changed fact increased sensitivity eyes light loss consciousness muscle pain, cramps, stiffness, twitching nervousness overactive reflexes pounding ears rapid, shallow breathing sweating tremors unusual excitement, nervousness, restlessness Some side effects may occur usually need medical attention. These side effects may go away treatment body adjusts medicine. Also, health care professional may able tell ways prevent reduce side effects. Check health care professional following side effects continue bothersome questions them: More common Loss appetite stomach pain Less common Acid sour stomach anger belching fear heartburn indigestion irritability scalp hair loss stomach discomfort upset vomiting Other side effects listed may also occur patients. If notice effects, check healthcare professional. Call doctor medical advice side effects. You may report side effects FDA 1-800-FDA-1088. Methylin ER side effects",ADHD
omega-3 polyunsaturated fatty acids,"hives ; difficult breathing; swelling face, lips, tongue, throat. Omega-3 polyunsaturated fatty acids may cause serious side effects. Call doctor have: chest pain; uneven heartbeats. Common side effects omega-3 polyunsaturated fatty acids may include: loss appetite; diarrhea , constipation , upset stomach , belching ; back pain ; dry mouth, altered sense taste.",ADHD
ProCentra,"hives ; difficulty breathing; swelling face, lips, tongue, throat. ProCentra may cause serious side effects. Call doctor have: signs heart problems--chest pain, trouble breathing, feeling like might pass out; signs psychosis--hallucinations (seeing hearing things real), new behavior problems, aggression, hostility, paranoia; signs circulation problems--numbness, pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; seizure (convulsions); muscle twitches (tics); changes vision. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea, vomiting, diarrhea. ProCentra affect growth children. Tell doctor child growing normal rate using ProCentra. Common side effects ProCentra may include: dry mouth, upset stomach , loss appetite, weight loss ; headache , dizziness ; tremors, fast heartbeats; sleep problems ( insomnia ).",ADHD
selegiline,"hives ; difficult breathing; swelling face, lips, tongue, throat. Selegiline may cause serious side effects. Call doctor have: light-headed feeling, like might pass out; trouble breathing; confusion, hallucinations, unusual thoughts behavior; increased tremors uncontrolled muscle movements; worsening side effects medications; high levels serotonin body (when taken antidepressant)-- agitation , fever, fast heart rate , overactive reflexes, nausea , vomiting , diarrhea , loss coordination, fainting; dangerously high blood pressure--severe headache, blurred vision, pounding neck ears, anxiety , nausea, vomiting, severe chest pain, shortness breath, pounding heartbeats, seizure (convulsions). You may increased sexual urges, unusual urges gamble, intense urges taking medicine. Talk doctor occurs. Common side effects selegiline may include: dizziness ; nausea, stomach pain, constipation ; skin rash irritation; sleep problems ( insomnia ); mouth sores ulcers, pain swallowing (while using selegiline orally disintegrating tablets).",ADHD
Zenzedi,"hives ; difficulty breathing; swelling face, lips, tongue, throat. Zenzedi may cause serious side effects. Call doctor have: signs heart problems--chest pain, trouble breathing, feeling like might pass out; signs psychosis--hallucinations (seeing hearing things real), new behavior problems, aggression, hostility, paranoia; signs circulation problems--numbness, pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; seizure (convulsions); muscle twitches (tics); changes vision. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea, vomiting, diarrhea. Zenzedi affect growth children. Tell doctor child growing normal rate using Zenzedi. Common side effects Zenzedi may include: dry mouth, upset stomach , loss appetite, weight loss ; headache , dizziness ; tremors, fast heartbeats; sleep problems ( insomnia ).",ADHD
Adhansia XR,No Side Effects,ADHD
Aptensio XR,"Along needed effects, medicine may cause unwanted effects. Although side effects may occur, occur may need medical attention. Check doctor immediately following side effects occur: More common Fast heartbeat Less common Chest pain fever joint pain skin rash hives Rare Black, tarry stools blood urine stools blurred vision changes vision crusting, dryness, flaking skin muscle cramps pinpoint red spots skin scaling, severe redness, soreness, swelling skin seizures uncontrolled vocal outbursts tics (uncontrolled repeated body movements) unusual bleeding bruising Incidence known Agitation arm, back jaw pain bleeding gums bloody nose chest discomfort, tightness, heaviness chills clenching, gnashing, grinding teeth confusion cough dark urine decreased interest sexual intercourse diarrhea difficulty speaking difficulty swallowing discouragement dizziness double vision drowsiness fainting fast, pounding, irregular heartbeat pulse feeling like surroundings real feeling sad empty feeling others watching controlling behavior feeling others hear thoughts feeling, seeing, hearing things headache heavier menstrual periods inability keep erection inability move arms, legs, facial muscles inability speak irritability itching skin large, hive-like swelling face, eyelids, lips, tongue, throat, hands, legs, feet, genitals loss sexual ability, desire, drive, performance loss interest pleasure mood swings muscle pain, stiffness, spasms nausea nervousness numbness hands overactive reflexes painful difficult urination pale skin paleness cold feeling fingertips toes poor coordination pounding ears puffiness swelling eyelids around eyes, face, lips, tongue red, irritated eyes red, swollen, scaly skin redness, soreness, itching skin restlessness right upper quadrant tenderness seeing, hearing, feeling things severe sudden headache shivering slow speech slowed growth children sore throat sores, ulcers, white spots lips mouth stuffy runny nose sudden loss coordination sudden slurring speech sweating swollen glands talking acting excitement cannot control tingling pain fingers toes exposed cold temperatures trembling shaking tremor trouble concentrating trouble sleeping trouble breathing twitching, twisting, uncontrolled repetitive movements tongue, lips, face, arms, legs unusual behavior unusual tiredness weakness weight loss yellow skin eyes Symptoms overdose Agitation anxiety bigger, dilated, enlarged pupils eyes confusion time, place, person dark urine diarrhea dizziness, faintness, lightheadedness getting suddenly lying sitting position dry eyes, mouth, nose, throat false unusual sense well-being fast, slow, irregular, pounding, racing heartbeat pulse holding false beliefs cannot changed fact increased sensitivity eyes light loss consciousness muscle pain, cramps, stiffness, twitching nervousness overactive reflexes pounding ears rapid, shallow breathing sweating tremors unusual excitement, nervousness, restlessness Some side effects may occur usually need medical attention. These side effects may go away treatment body adjusts medicine. Also, health care professional may able tell ways prevent reduce side effects. Check health care professional following side effects continue bothersome questions them: More common Loss appetite stomach pain Less common Acid sour stomach anger belching fear heartburn indigestion irritability scalp hair loss stomach discomfort upset vomiting Other side effects listed may also occur patients. If notice effects, check healthcare professional. Call doctor medical advice side effects. You may report side effects FDA 1-800-FDA-1088. Aptensio XR side effects",ADHD
armodafinil,"skin rash, fever, swollen glands, flu-like symptoms, unusual bruising, jaundice (yellowing skin eyes). Armodafinil may cause serious side effects. Stop using armodafinil call doctor have: bruising, severe tingling, numbness , pain, muscle weakness; unusual bleeding ( nosebleeds , bleeding gums); skin sores blistering; mouth sores, trouble swallowing; chest pain, uneven heart beats; depression , anxiety , hallucinations, aggression, unusual thoughts behavior, suicidal thoughts. Common side effects armodafinil may include: headache , dizziness ; nausea; sleep problems ( insomnia ).",ADHD
desvenlafaxine,"skin rash hives ; difficulty breathing; swelling face, lips, tongue, throat. Tell doctor right away new sudden changes mood behavior, including new worse depression anxiety , panic attacks , trouble sleeping, feel impulsive, irritable, agitated, hostile, aggressive, restless, active talkative, thoughts suicide hurting yourself. Desvenlafaxine may cause serious side effects. Call doctor have: seizure; easy bruising bleeding ( nosebleeds , bleeding gums), blood urine stools, coughing blood ; blurred vision, eye pain swelling, seeing halos around lights; cough, chest discomfort, trouble breathing; low blood sodium-- headache , confusion, problems thinking memory, weakness, feeling unsteady. Seek medical attention right away symptoms serotonin syndrome, as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea , vomiting , diarrhea . Common side effects desvenlafaxine may include: dizziness , drowsiness, anxiety; increased sweating; nausea, decreased appetite, constipation ; sleep problems ( insomnia ); decreased sex drive, impotence , difficulty orgasm.",ADHD
Evekeo,"hives ; difficult breathing; swelling face, lips, tongue, throat. Evekeo may cause serious side effects. Call doctor have: signs heart problems--chest pain, trouble breathing, feeling like might pass out; signs psychosis--hallucinations (seeing hearing things real), new behavior problems, aggression, hostility, paranoia; signs circulation problems-- numbness , pain, cold feeling, unexplained wounds, skin color changes (pale, red, blue appearance) fingers toes; seizure (convulsions); muscle twitches (tics); pain burning urinate; changes vision. Seek medical attention right away symptoms serotonin syndrome, as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss coordination, nausea , vomiting, diarrhea. Evekeo affect growth. Tell doctor child growing normal rate. Common side effects Evekeo may include: increased heart rate; mood changes, anxiety , feeling restless nervous; trouble sleeping; dry mouth, stomach pain, nausea, vomiting, diarrhea, constipation ; loss appetite, weight loss ; painful urination; sexual problems, impotence ; headache , dizziness ; fever, weakness; itching.",ADHD
